0 0,0 0,0 0,0
100 0,0004989385604858398 0,00019936561584472657 0,0
200 0,0019948482513427734 0,0009972095489501954 0,0
300 0,004687452316284179 0,002194118499755859 0,0
400 0,008577299118041993 0,004088759422302246 0,0
500 0,013763165473937989 0,006582403182983398 0,0
600 0,020145869255065917 0,009671521186828614 9,975433349609374e-05
700 0,0282268762588501 0,013364410400390625 9,975433349609374e-05
800 0,03739972114562988 0,017949485778808595 0,0
900 0,048769211769104 0,023237848281860353 9,975433349609374e-05
1000 0,06083722114562988 0,029225087165832518 9,949207305908203e-05
1100 0,07320423126220703 0,03570599555969238 0,0001995086669921875
1200 0,08709557056427002 0,04358084201812744 0,00019948482513427735
1300 0,1031564712524414 0,050165987014770506 0,00019948482513427735
1400 0,11994032859802246 0,05904157161712646 0,00019948482513427735
1500 0,13778266906738282 0,06792092323303223 9,987354278564453e-05
1600 0,15927386283874512 0,07450323104858399 0,00029985904693603517
1700 0,17922017574310303 0,08477098941802978 0,0001994609832763672
1800 0,1956766128540039 0,09474370479583741 9,975433349609374e-05
1900 0,22569878101348878 0,10601646900177002 0,00029895305633544924
2000 0,24135441780090333 0,1176825761795044 0,00019948482513427735
2100 0,2710749387741089 0,13454248905181884 0,00019779205322265626
2200 0,3036887407302856 0,14720597267150878 0,00029926300048828126
2300 0,3282244920730591 0,16116855144500733 0,00029895305633544924
2400 0,35787105560302734 0,17622599601745606 0,00029866695404052735
2500 0,37938532829284666 0,1909893274307251 0,000498652458190918
2600 0,4190814733505249 0,20315968990325928 0,0
2700 0,45338690280914307 0,23048088550567628 0,00029921531677246094
2800 0,49467897415161133 0,240659761428833 0,0004987001419067382
2900 0,524793553352356 0,25651381015777586 0,0002991437911987305
3000 0,55890793800354 0,27207150459289553 0,00029921531677246094
